Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,3/1/2016,2016,3,1,†,-7,,-25,,-16,,34,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/2/2016,2016,3,2,†,-5,,-27,,-16,,34,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/3/2016,2016,3,3,†,-2,,-28,,-15,,33,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/4/2016,2016,3,4,†,-1,,-8,,-4.5,,22.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/5/2016,2016,3,5,†,9,,-8,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/6/2016,2016,3,6,†,8,,-4,,2,,16,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/7/2016,2016,3,7,†,1,,-10,,-4.5,,22.5,,0,,0,,3,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/8/2016,2016,3,8,†,2,,-8,,-3,,21,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/9/2016,2016,3,9,†,1,,-7,,-3,,21,,0,,0,,5,,5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/10/2016,2016,3,10,†,8,,-6,,1,,17,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/11/2016,2016,3,11,†,10,,-1,,4.5,,13.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/12/2016,2016,3,12,†,9,,-1,,4,,14,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/13/2016,2016,3,13,†,14,,-1,,6.5,,11.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/14/2016,2016,3,14,†,10,,4,,7,,11,,0,,0,,4,,4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/15/2016,2016,3,15,†,1,,0,,0.5,,17.5,,0,,0,,8,,8,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/16/2016,2016,3,16,†,2,,-7,,-2.5,,20.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/17/2016,2016,3,17,†,-2,,-6,,-4,,22,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/18/2016,2016,3,18,†,4,,-12,,-4,,22,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/19/2016,2016,3,19,†,3,,-8,,-2.5,,20.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/20/2016,2016,3,20,†,2,,-9,,-3.5,,21.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/21/2016,2016,3,21,†,-2,,-9,,-5.5,,23.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/22/2016,2016,3,22,†,-1,,-12,,-6.5,,24.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/23/2016,2016,3,23,†,2.5,,-15,,-6.3,,24.3,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,3/24/2016,2016,3,24,†,0,,-5,,-2.5,,20.5,,0,,0,,0,,0,,0,,,,,
